,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,Origin
0,18.0,8,307.0,130.0,3504.0,12.0,70,USA
1,15.0,8,350.0,165.0,3693.0,11.5,70,USA
2,18.0,8,318.0,150.0,3436.0,11.0,70,USA
3,16.0,8,304.0,150.0,3433.0,12.0,70,USA
4,17.0,8,302.0,140.0,3449.0,10.5,70,USA
5,15.0,8,429.0,198.0,4341.0,10.0,70,USA
6,14.0,8,454.0,220.0,4354.0,9.0,70,USA
7,14.0,8,440.0,215.0,4312.0,8.5,70,USA
8,14.0,8,455.0,225.0,4425.0,10.0,70,USA
9,15.0,8,390.0,190.0,3850.0,8.5,70,USA
10,15.0,8,383.0,170.0,3563.0,10.0,70,USA
11,14.0,8,340.0,160.0,3609.0,8.0,70,USA
12,15.0,8,400.0,150.0,3761.0,9.5,70,USA
13,14.0,8,455.0,225.0,3086.0,10.0,70,USA
14,24.0,4,113.0,95.0,2372.0,15.0,70,Japan
15,22.0,6,198.0,95.0,2833.0,15.5,70,USA
16,18.0,6,199.0,97.0,2774.0,15.5,70,USA
17,21.0,6,200.0,85.0,2587.0,16.0,70,USA
18,27.0,4,97.0,88.0,2130.0,14.5,70,Japan
19,26.0,4,97.0,46.0,1835.0,20.5,70,Europe
20,25.0,4,110.0,87.0,2672.0,17.5,70,Europe
21,24.0,4,107.0,90.0,2430.0,14.5,70,Europe
22,25.0,4,104.0,95.0,2375.0,17.5,70,Europe
23,26.0,4,121.0,113.0,2234.0,12.5,70,Europe
24,21.0,6,199.0,90.0,2648.0,15.0,70,USA
25,10.0,8,360.0,215.0,4615.0,14.0,70,USA
26,10.0,8,307.0,200.0,4376.0,15.0,70,USA
27,11.0,8,318.0,210.0,4382.0,13.5,70,USA
28,9.0,8,304.0,193.0,4732.0,18.5,70,USA
29,27.0,4,97.0,88.0,2130.0,14.5,71,Japan
30,28.0,4,140.0,90.0,2264.0,15.5,71,USA
31,25.0,4,113.0,95.0,2228.0,14.0,71,Japan
32,25.0,4,98.0,,2046.0,19.0,71,USA
33,19.0,6,232.0,100.0,2634.0,13.0,71,USA
34,16.0,6,225.0,105.0,3439.0,15.5,71,USA
35,17.0,6,250.0,100.0,3329.0,15.5,71,USA
36,19.0,6,250.0,88.0,3302.0,15.5,71,USA
37,18.0,6,232.0,100.0,3288.0,15.5,71,USA
38,14.0,8,350.0,165.0,4209.0,12.0,71,USA
39,14.0,8,400.0,175.0,4464.0,11.5,71,USA
40,14.0,8,351.0,153.0,4154.0,13.5,71,USA
41,14.0,8,318.0,150.0,4096.0,13.0,71,USA
42,12.0,8,383.0,180.0,4955.0,11.5,71,USA
43,13.0,8,400.0,170.0,4746.0,12.0,71,USA
44,13.0,8,400.0,175.0,5140.0,12.0,71,USA
45,18.0,6,258.0,110.0,2962.0,13.5,71,USA
46,22.0,4,140.0,72.0,2408.0,19.0,71,USA
47,19.0,6,250.0,100.0,3282.0,15.0,71,USA
48,18.0,6,250.0,88.0,3139.0,14.5,71,USA
49,23.0,4,122.0,86.0,2220.0,14.0,71,USA
50,28.0,4,116.0,90.0,2123.0,14.0,71,Europe
51,30.0,4,79.0,70.0,2074.0,19.5,71,Europe
52,30.0,4,88.0,76.0,2065.0,14.5,71,Europe
53,31.0,4,71.0,65.0,1773.0,19.0,71,Japan
54,35.0,4,72.0,69.0,1613.0,18.0,71,Japan
55,27.0,4,97.0,60.0,1834.0,19.0,71,Europe
56,26.0,4,91.0,70.0,1955.0,20.5,71,USA
57,24.0,4,113.0,95.0,2278.0,15.5,72,Japan
58,25.0,4,97.5,80.0,2126.0,17.0,72,USA
59,23.0,4,97.0,54.0,2254.0,23.5,72,Europe
60,20.0,4,140.0,90.0,2408.0,19.5,72,USA
61,21.0,4,122.0,86.0,2226.0,16.5,72,USA
62,13.0,8,350.0,165.0,4274.0,12.0,72,USA
63,14.0,8,400.0,175.0,4385.0,12.0,72,USA
64,15.0,8,318.0,150.0,4135.0,13.5,72,USA
65,14.0,8,351.0,153.0,4129.0,13.0,72,USA
66,17.0,8,304.0,150.0,3672.0,11.5,72,USA
67,11.0,8,429.0,208.0,4633.0,11.0,72,USA
68,13.0,8,350.0,155.0,4502.0,13.5,72,USA
69,12.0,8,350.0,160.0,4456.0,13.5,72,USA
70,13.0,8,400.0,190.0,4422.0,12.5,72,USA
71,19.0,3,70.0,97.0,2330.0,13.5,72,Japan
72,15.0,8,304.0,150.0,3892.0,12.5,72,USA
73,13.0,8,307.0,130.0,4098.0,14.0,72,USA
74,13.0,8,302.0,140.0,4294.0,16.0,72,USA
75,14.0,8,318.0,150.0,4077.0,14.0,72,USA
76,18.0,4,121.0,112.0,2933.0,14.5,72,Europe
77,22.0,4,121.0,76.0,2511.0,18.0,72,Europe
78,21.0,4,120.0,87.0,2979.0,19.5,72,Europe
79,26.0,4,96.0,69.0,2189.0,18.0,72,Europe
80,22.0,4,122.0,86.0,2395.0,16.0,72,USA
81,28.0,4,97.0,92.0,2288.0,17.0,72,Japan
82,23.0,4,120.0,97.0,2506.0,14.5,72,Japan
83,28.0,4,98.0,80.0,2164.0,15.0,72,USA
84,27.0,4,97.0,88.0,2100.0,16.5,72,Japan
85,13.0,8,350.0,175.0,4100.0,13.0,73,USA
86,14.0,8,304.0,150.0,3672.0,11.5,73,USA
87,13.0,8,350.0,145.0,3988.0,13.0,73,USA
88,14.0,8,302.0,137.0,4042.0,14.5,73,USA
89,15.0,8,318.0,150.0,3777.0,12.5,73,USA
90,12.0,8,429.0,198.0,4952.0,11.5,73,USA
91,13.0,8,400.0,150.0,4464.0,12.0,73,USA
92,13.0,8,351.0,158.0,4363.0,13.0,73,USA
93,14.0,8,318.0,150.0,4237.0,14.5,73,USA
94,13.0,8,440.0,215.0,4735.0,11.0,73,USA
95,12.0,8,455.0,225.0,4951.0,11.0,73,USA
96,13.0,8,360.0,175.0,3821.0,11.0,73,USA
97,18.0,6,225.0,105.0,3121.0,16.5,73,USA
98,16.0,6,250.0,100.0,3278.0,18.0,73,USA
99,18.0,6,232.0,100.0,2945.0,16.0,73,USA
100,18.0,6,250.0,88.0,3021.0,16.5,73,USA
101,23.0,6,198.0,95.0,2904.0,16.0,73,USA
102,26.0,4,97.0,46.0,1950.0,21.0,73,Europe
103,11.0,8,400.0,150.0,4997.0,14.0,73,USA
104,12.0,8,400.0,167.0,4906.0,12.5,73,USA
105,13.0,8,360.0,170.0,4654.0,13.0,73,USA
106,12.0,8,350.0,180.0,4499.0,12.5,73,USA
107,18.0,6,232.0,100.0,2789.0,15.0,73,USA
108,20.0,4,97.0,88.0,2279.0,19.0,73,Japan
109,21.0,4,140.0,72.0,2401.0,19.5,73,USA
110,22.0,4,108.0,94.0,2379.0,16.5,73,Japan
111,18.0,3,70.0,90.0,2124.0,13.5,73,Japan
112,19.0,4,122.0,85.0,2310.0,18.5,73,USA
113,21.0,6,155.0,107.0,2472.0,14.0,73,USA
114,26.0,4,98.0,90.0,2265.0,15.5,73,Europe
115,15.0,8,350.0,145.0,4082.0,13.0,73,USA
116,16.0,8,400.0,230.0,4278.0,9.5,73,USA
117,29.0,4,68.0,49.0,1867.0,19.5,73,Europe
118,24.0,4,116.0,75.0,2158.0,15.5,73,Europe
119,20.0,4,114.0,91.0,2582.0,14.0,73,Europe
120,19.0,4,121.0,112.0,2868.0,15.5,73,Europe
121,15.0,8,318.0,150.0,3399.0,11.0,73,USA
122,24.0,4,121.0,110.0,2660.0,14.0,73,Europe
123,20.0,6,156.0,122.0,2807.0,13.5,73,Japan
124,11.0,8,350.0,180.0,3664.0,11.0,73,USA
125,20.0,6,198.0,95.0,3102.0,16.5,74,USA
126,21.0,6,200.0,,2875.0,17.0,74,USA
127,19.0,6,232.0,100.0,2901.0,16.0,74,USA
128,15.0,6,250.0,100.0,3336.0,17.0,74,USA
129,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
130,26.0,4,122.0,80.0,2451.0,16.5,74,USA
131,32.0,4,71.0,65.0,1836.0,21.0,74,Japan
132,25.0,4,140.0,75.0,2542.0,17.0,74,USA
133,16.0,6,250.0,100.0,3781.0,17.0,74,USA
134,16.0,6,258.0,110.0,3632.0,18.0,74,USA
135,18.0,6,225.0,105.0,3613.0,16.5,74,USA
136,16.0,8,302.0,140.0,4141.0,14.0,74,USA
137,13.0,8,350.0,150.0,4699.0,14.5,74,USA
138,14.0,8,318.0,150.0,4457.0,13.5,74,USA
139,14.0,8,302.0,140.0,4638.0,16.0,74,USA
140,14.0,8,304.0,150.0,4257.0,15.5,74,USA
141,29.0,4,98.0,83.0,2219.0,16.5,74,Europe
142,26.0,4,79.0,67.0,1963.0,15.5,74,Europe
143,26.0,4,97.0,78.0,2300.0,14.5,74,Europe
144,31.0,4,76.0,52.0,1649.0,16.5,74,Japan
145,32.0,4,83.0,61.0,2003.0,19.0,74,Japan
146,28.0,4,90.0,75.0,2125.0,14.5,74,USA
147,24.0,4,90.0,75.0,2108.0,15.5,74,Europe
148,26.0,4,116.0,75.0,2246.0,14.0,74,Europe
149,24.0,4,120.0,97.0,2489.0,15.0,74,Japan
150,26.0,4,108.0,93.0,2391.0,15.5,74,Japan
151,31.0,4,79.0,67.0,2000.0,16.0,74,Europe
152,19.0,6,225.0,95.0,3264.0,16.0,75,USA
153,18.0,6,250.0,105.0,3459.0,16.0,75,USA
154,15.0,6,250.0,72.0,3432.0,21.0,75,USA
155,15.0,6,250.0,72.0,3158.0,19.5,75,USA
156,16.0,8,400.0,170.0,4668.0,11.5,75,USA
157,15.0,8,350.0,145.0,4440.0,14.0,75,USA
158,16.0,8,318.0,150.0,4498.0,14.5,75,USA
159,14.0,8,351.0,148.0,4657.0,13.5,75,USA
160,17.0,6,231.0,110.0,3907.0,21.0,75,USA
161,16.0,6,250.0,105.0,3897.0,18.5,75,USA
162,15.0,6,258.0,110.0,3730.0,19.0,75,USA
163,18.0,6,225.0,95.0,3785.0,19.0,75,USA
164,21.0,6,231.0,110.0,3039.0,15.0,75,USA
165,20.0,8,262.0,110.0,3221.0,13.5,75,USA
166,13.0,8,302.0,129.0,3169.0,12.0,75,USA
167,29.0,4,97.0,75.0,2171.0,16.0,75,Japan
168,23.0,4,140.0,83.0,2639.0,17.0,75,USA
169,20.0,6,232.0,100.0,2914.0,16.0,75,USA
170,23.0,4,140.0,78.0,2592.0,18.5,75,USA
171,24.0,4,134.0,96.0,2702.0,13.5,75,Japan
172,25.0,4,90.0,71.0,2223.0,16.5,75,Europe
173,24.0,4,119.0,97.0,2545.0,17.0,75,Japan
174,18.0,6,171.0,97.0,2984.0,14.5,75,USA
175,29.0,4,90.0,70.0,1937.0,14.0,75,Europe
176,19.0,6,232.0,90.0,3211.0,17.0,75,USA
177,23.0,4,115.0,95.0,2694.0,15.0,75,Europe
178,23.0,4,120.0,88.0,2957.0,17.0,75,Europe
179,22.0,4,121.0,98.0,2945.0,14.5,75,Europe
180,25.0,4,121.0,115.0,2671.0,13.5,75,Europe
181,33.0,4,91.0,53.0,1795.0,17.5,75,Japan
182,28.0,4,107.0,86.0,2464.0,15.5,76,Europe
183,25.0,4,116.0,81.0,2220.0,16.9,76,Europe
184,25.0,4,140.0,92.0,2572.0,14.9,76,USA
185,26.0,4,98.0,79.0,2255.0,17.7,76,USA
186,27.0,4,101.0,83.0,2202.0,15.3,76,Europe
187,17.5,8,305.0,140.0,4215.0,13.0,76,USA
188,16.0,8,318.0,150.0,4190.0,13.0,76,USA
189,15.5,8,304.0,120.0,3962.0,13.9,76,USA
190,14.5,8,351.0,152.0,4215.0,12.8,76,USA
191,22.0,6,225.0,100.0,3233.0,15.4,76,USA
192,22.0,6,250.0,105.0,3353.0,14.5,76,USA
193,24.0,6,200.0,81.0,3012.0,17.6,76,USA
194,22.5,6,232.0,90.0,3085.0,17.6,76,USA
195,29.0,4,85.0,52.0,2035.0,22.2,76,USA
196,24.5,4,98.0,60.0,2164.0,22.1,76,USA
197,29.0,4,90.0,70.0,1937.0,14.2,76,Europe
198,33.0,4,91.0,53.0,1795.0,17.4,76,Japan
199,20.0,6,225.0,100.0,3651.0,17.7,76,USA
200,18.0,6,250.0,78.0,3574.0,21.0,76,USA
201,18.5,6,250.0,110.0,3645.0,16.2,76,USA
202,17.5,6,258.0,95.0,3193.0,17.8,76,USA
203,29.5,4,97.0,71.0,1825.0,12.2,76,Europe
204,32.0,4,85.0,70.0,1990.0,17.0,76,Japan
205,28.0,4,97.0,75.0,2155.0,16.4,76,Japan
206,26.5,4,140.0,72.0,2565.0,13.6,76,USA
207,20.0,4,130.0,102.0,3150.0,15.7,76,Europe
208,13.0,8,318.0,150.0,3940.0,13.2,76,USA
209,19.0,4,120.0,88.0,3270.0,21.9,76,Europe
210,19.0,6,156.0,108.0,2930.0,15.5,76,Japan
211,16.5,6,168.0,120.0,3820.0,16.7,76,Europe
212,16.5,8,350.0,180.0,4380.0,12.1,76,USA
213,13.0,8,350.0,145.0,4055.0,12.0,76,USA
214,13.0,8,302.0,130.0,3870.0,15.0,76,USA
215,13.0,8,318.0,150.0,3755.0,14.0,76,USA
216,31.5,4,98.0,68.0,2045.0,18.5,77,Japan
217,30.0,4,111.0,80.0,2155.0,14.8,77,USA
218,36.0,4,79.0,58.0,1825.0,18.6,77,Europe
219,25.5,4,122.0,96.0,2300.0,15.5,77,USA
220,33.5,4,85.0,70.0,1945.0,16.8,77,Japan
221,17.5,8,305.0,145.0,3880.0,12.5,77,USA
222,17.0,8,260.0,110.0,4060.0,19.0,77,USA
223,15.5,8,318.0,145.0,4140.0,13.7,77,USA
224,15.0,8,302.0,130.0,4295.0,14.9,77,USA
225,17.5,6,250.0,110.0,3520.0,16.4,77,USA
226,20.5,6,231.0,105.0,3425.0,16.9,77,USA
227,19.0,6,225.0,100.0,3630.0,17.7,77,USA
228,18.5,6,250.0,98.0,3525.0,19.0,77,USA
229,16.0,8,400.0,180.0,4220.0,11.1,77,USA
230,15.5,8,350.0,170.0,4165.0,11.4,77,USA
231,15.5,8,400.0,190.0,4325.0,12.2,77,USA
232,16.0,8,351.0,149.0,4335.0,14.5,77,USA
233,29.0,4,97.0,78.0,1940.0,14.5,77,Europe
234,24.5,4,151.0,88.0,2740.0,16.0,77,USA
235,26.0,4,97.0,75.0,2265.0,18.2,77,Japan
236,25.5,4,140.0,89.0,2755.0,15.8,77,USA
237,30.5,4,98.0,63.0,2051.0,17.0,77,USA
238,33.5,4,98.0,83.0,2075.0,15.9,77,USA
239,30.0,4,97.0,67.0,1985.0,16.4,77,Japan
240,30.5,4,97.0,78.0,2190.0,14.1,77,Europe
241,22.0,6,146.0,97.0,2815.0,14.5,77,Japan
242,21.5,4,121.0,110.0,2600.0,12.8,77,Europe
243,21.5,3,80.0,110.0,2720.0,13.5,77,Japan
244,43.1,4,90.0,48.0,1985.0,21.5,78,Europe
245,36.1,4,98.0,66.0,1800.0,14.4,78,USA
246,32.8,4,78.0,52.0,1985.0,19.4,78,Japan
247,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
248,36.1,4,91.0,60.0,1800.0,16.4,78,Japan
249,19.9,8,260.0,110.0,3365.0,15.5,78,USA
250,19.4,8,318.0,140.0,3735.0,13.2,78,USA
251,20.2,8,302.0,139.0,3570.0,12.8,78,USA
252,19.2,6,231.0,105.0,3535.0,19.2,78,USA
253,20.5,6,200.0,95.0,3155.0,18.2,78,USA
254,20.2,6,200.0,85.0,2965.0,15.8,78,USA
255,25.1,4,140.0,88.0,2720.0,15.4,78,USA
256,20.5,6,225.0,100.0,3430.0,17.2,78,USA
257,19.4,6,232.0,90.0,3210.0,17.2,78,USA
258,20.6,6,231.0,105.0,3380.0,15.8,78,USA
259,20.8,6,200.0,85.0,3070.0,16.7,78,USA
260,18.6,6,225.0,110.0,3620.0,18.7,78,USA
261,18.1,6,258.0,120.0,3410.0,15.1,78,USA
262,19.2,8,305.0,145.0,3425.0,13.2,78,USA
263,17.7,6,231.0,165.0,3445.0,13.4,78,USA
264,18.1,8,302.0,139.0,3205.0,11.2,78,USA
265,17.5,8,318.0,140.0,4080.0,13.7,78,USA
266,30.0,4,98.0,68.0,2155.0,16.5,78,USA
267,27.5,4,134.0,95.0,2560.0,14.2,78,Japan
268,27.2,4,119.0,97.0,2300.0,14.7,78,Japan
269,30.9,4,105.0,75.0,2230.0,14.5,78,USA
270,21.1,4,134.0,95.0,2515.0,14.8,78,Japan
271,23.2,4,156.0,105.0,2745.0,16.7,78,USA
272,23.8,4,151.0,85.0,2855.0,17.6,78,USA
273,23.9,4,119.0,97.0,2405.0,14.9,78,Japan
274,20.3,5,131.0,103.0,2830.0,15.9,78,Europe
275,17.0,6,163.0,125.0,3140.0,13.6,78,Europe
276,21.6,4,121.0,115.0,2795.0,15.7,78,Europe
277,16.2,6,163.0,133.0,3410.0,15.8,78,Europe
278,31.5,4,89.0,71.0,1990.0,14.9,78,Europe
279,29.5,4,98.0,68.0,2135.0,16.6,78,Japan
280,21.5,6,231.0,115.0,3245.0,15.4,79,USA
281,19.8,6,200.0,85.0,2990.0,18.2,79,USA
282,22.3,4,140.0,88.0,2890.0,17.3,79,USA
283,20.2,6,232.0,90.0,3265.0,18.2,79,USA
284,20.6,6,225.0,110.0,3360.0,16.6,79,USA
285,17.0,8,305.0,130.0,3840.0,15.4,79,USA
286,17.6,8,302.0,129.0,3725.0,13.4,79,USA
287,16.5,8,351.0,138.0,3955.0,13.2,79,USA
288,18.2,8,318.0,135.0,3830.0,15.2,79,USA
289,16.9,8,350.0,155.0,4360.0,14.9,79,USA
290,15.5,8,351.0,142.0,4054.0,14.3,79,USA
291,19.2,8,267.0,125.0,3605.0,15.0,79,USA
292,18.5,8,360.0,150.0,3940.0,13.0,79,USA
293,31.9,4,89.0,71.0,1925.0,14.0,79,Europe
294,34.1,4,86.0,65.0,1975.0,15.2,79,Japan
295,35.7,4,98.0,80.0,1915.0,14.4,79,USA
296,27.4,4,121.0,80.0,2670.0,15.0,79,USA
297,25.4,5,183.0,77.0,3530.0,20.1,79,Europe
298,23.0,8,350.0,125.0,3900.0,17.4,79,USA
299,27.2,4,141.0,71.0,3190.0,24.8,79,Europe
300,23.9,8,260.0,90.0,3420.0,22.2,79,USA
301,34.2,4,105.0,70.0,2200.0,13.2,79,USA
302,34.5,4,105.0,70.0,2150.0,14.9,79,USA
303,31.8,4,85.0,65.0,2020.0,19.2,79,Japan
304,37.3,4,91.0,69.0,2130.0,14.7,79,Europe
305,28.4,4,151.0,90.0,2670.0,16.0,79,USA
306,28.8,6,173.0,115.0,2595.0,11.3,79,USA
307,26.8,6,173.0,115.0,2700.0,12.9,79,USA
308,33.5,4,151.0,90.0,2556.0,13.2,79,USA
309,41.5,4,98.0,76.0,2144.0,14.7,80,Europe
310,38.1,4,89.0,60.0,1968.0,18.8,80,Japan
311,32.1,4,98.0,70.0,2120.0,15.5,80,USA
312,37.2,4,86.0,65.0,2019.0,16.4,80,Japan
313,28.0,4,151.0,90.0,2678.0,16.5,80,USA
314,26.4,4,140.0,88.0,2870.0,18.1,80,USA
315,24.3,4,151.0,90.0,3003.0,20.1,80,USA
316,19.1,6,225.0,90.0,3381.0,18.7,80,USA
317,34.3,4,97.0,78.0,2188.0,15.8,80,Europe
318,29.8,4,134.0,90.0,2711.0,15.5,80,Japan
319,31.3,4,120.0,75.0,2542.0,17.5,80,Japan
320,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
321,32.2,4,108.0,75.0,2265.0,15.2,80,Japan
322,46.6,4,86.0,65.0,2110.0,17.9,80,Japan
323,27.9,4,156.0,105.0,2800.0,14.4,80,USA
324,40.8,4,85.0,65.0,2110.0,19.2,80,Japan
325,44.3,4,90.0,48.0,2085.0,21.7,80,Europe
326,43.4,4,90.0,48.0,2335.0,23.7,80,Europe
327,36.4,5,121.0,67.0,2950.0,19.9,80,Europe
328,30.0,4,146.0,67.0,3250.0,21.8,80,Europe
329,44.6,4,91.0,67.0,1850.0,13.8,80,Japan
330,40.9,4,85.0,,1835.0,17.3,80,Europe
331,33.8,4,97.0,67.0,2145.0,18.0,80,Japan
332,29.8,4,89.0,62.0,1845.0,15.3,80,Europe
333,32.7,6,168.0,132.0,2910.0,11.4,80,Japan
334,23.7,3,70.0,100.0,2420.0,12.5,80,Japan
335,35.0,4,122.0,88.0,2500.0,15.1,80,Europe
336,23.6,4,140.0,,2905.0,14.3,80,USA
337,32.4,4,107.0,72.0,2290.0,17.0,80,Japan
338,27.2,4,135.0,84.0,2490.0,15.7,81,USA
339,26.6,4,151.0,84.0,2635.0,16.4,81,USA
340,25.8,4,156.0,92.0,2620.0,14.4,81,USA
341,23.5,6,173.0,110.0,2725.0,12.6,81,USA
342,30.0,4,135.0,84.0,2385.0,12.9,81,USA
343,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
344,39.0,4,86.0,64.0,1875.0,16.4,81,USA
345,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
346,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
347,37.0,4,85.0,65.0,1975.0,19.4,81,Japan
348,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
349,34.1,4,91.0,68.0,1985.0,16.0,81,Japan
350,34.7,4,105.0,63.0,2215.0,14.9,81,USA
351,34.4,4,98.0,65.0,2045.0,16.2,81,USA
352,29.9,4,98.0,65.0,2380.0,20.7,81,USA
353,33.0,4,105.0,74.0,2190.0,14.2,81,Europe
354,34.5,4,100.0,,2320.0,15.8,81,Europe
355,33.7,4,107.0,75.0,2210.0,14.4,81,Japan
356,32.4,4,108.0,75.0,2350.0,16.8,81,Japan
357,32.9,4,119.0,100.0,2615.0,14.8,81,Japan
358,31.6,4,120.0,74.0,2635.0,18.3,81,Japan
359,28.1,4,141.0,80.0,3230.0,20.4,81,Europe
360,30.7,6,145.0,76.0,3160.0,19.6,81,Europe
361,25.4,6,168.0,116.0,2900.0,12.6,81,Japan
362,24.2,6,146.0,120.0,2930.0,13.8,81,Japan
363,22.4,6,231.0,110.0,3415.0,15.8,81,USA
364,26.6,8,350.0,105.0,3725.0,19.0,81,USA
365,20.2,6,200.0,88.0,3060.0,17.1,81,USA
366,17.6,6,225.0,85.0,3465.0,16.6,81,USA
367,28.0,4,112.0,88.0,2605.0,19.6,82,USA
368,27.0,4,112.0,88.0,2640.0,18.6,82,USA
369,34.0,4,112.0,88.0,2395.0,18.0,82,USA
370,31.0,4,112.0,85.0,2575.0,16.2,82,USA
371,29.0,4,135.0,84.0,2525.0,16.0,82,USA
372,27.0,4,151.0,90.0,2735.0,18.0,82,USA
373,24.0,4,140.0,92.0,2865.0,16.4,82,USA
374,23.0,4,151.0,,3035.0,20.5,82,USA
375,36.0,4,105.0,74.0,1980.0,15.3,82,Europe
376,37.0,4,91.0,68.0,2025.0,18.2,82,Japan
377,31.0,4,91.0,68.0,1970.0,17.6,82,Japan
378,38.0,4,105.0,63.0,2125.0,14.7,82,USA
379,36.0,4,98.0,70.0,2125.0,17.3,82,USA
380,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
381,36.0,4,107.0,75.0,2205.0,14.5,82,Japan
382,34.0,4,108.0,70.0,2245.0,16.9,82,Japan
383,38.0,4,91.0,67.0,1965.0,15.0,82,Japan
384,32.0,4,91.0,67.0,1965.0,15.7,82,Japan
385,38.0,4,91.0,67.0,1995.0,16.2,82,Japan
386,25.0,6,181.0,110.0,2945.0,16.4,82,USA
387,38.0,6,262.0,85.0,3015.0,17.0,82,USA
388,26.0,4,156.0,92.0,2585.0,14.5,82,USA
389,22.0,6,232.0,112.0,2835.0,14.7,82,USA
390,32.0,4,144.0,96.0,2665.0,13.9,82,Japan
391,36.0,4,135.0,84.0,2370.0,13.0,82,USA
392,27.0,4,151.0,90.0,2950.0,17.3,82,USA
393,27.0,4,140.0,86.0,2790.0,15.6,82,USA
394,44.0,4,97.0,52.0,2130.0,24.6,82,Europe
395,32.0,4,135.0,84.0,2295.0,11.6,82,USA
396,28.0,4,120.0,79.0,2625.0,18.6,82,USA
397,31.0,4,119.0,82.0,2720.0,19.4,82,USA
